Shipment ID,Container ID,Timestamp,Date,Time,Product Category,Product Name,Vehicle Type,Origin City,Destination City,Transport Mode,Latitude,Longitude,Temperature,Humidity,Battery,Shock,Vibration,Delay Hours,Sensor Status,Weather,Driver ID,Route ID,Trip Distance,Trip Duration,Fuel Consumption
SHP-108D83A23825,CTR-706D7950A7,2026-05-25 08:03:06,2026-05-25,08:03:06,Dairy Products,Cheese,Cold Storage Container,Mumbai,Indore,Road,21.100893,73.90495,3.44,54.06,59.87,206.78,9.296,2.12,Active,Cold Wave,DRV-05D585AB,RTE-5FD462C6,1027.79,38.49,226.16
SHP-AA7EDC7F86FE,CTR-9223C2602D,2026-07-05 10:01:06,2026-07-05,10:01:06,Vaccines,Polio Vaccine,Insulated Container,Lucknow,Nagpur,Air,24.203473,79.55828,1.64,59.86,72.5,57.48,11.983,1.83,Active,Storm,DRV-25B3E921,RTE-F0F5C33C,1540.93,1.0,261.81
SHP-ED9C4BD2B6F3,CTR-0C6A96F648,2026-06-28 06:06:06,2026-06-28,06:06:06,Frozen Foods,Frozen Pizza,Insulated Container,Mumbai,Bhubaneswar,Sea,19.982698,79.888164,1.39,52.38,69.59,55.13,10.466,3.36,Active,Cold Wave,DRV-BA562DE8,RTE-6905558A,1765.25,63.27,294.07
SHP-9932A77233ED,CTR-9B31614B16,2026-06-15 07:31:06,2026-06-15,07:31:06,Seafood,Salmon,Insulated Container,Asansol,Bhubaneswar,Rail,21.519477,86.930748,-0.14,60.86,68.85,155.22,6.101,1.98,Active,Rain,DRV-364BC97E,RTE-0CF89805,1088.07,26.94,167.16
SHP-CA2FCE317FF7,CTR-7B606953D3,2026-06-14 23:04:06,2026-06-14,23:04:06,Seafood,Prawns,Mini Reefer Truck,Srinagar,Hyderabad,Rail,26.34017,77.0282,-0.41,57.89,68.69,113.2,4.136,3.03,Active,Storm,DRV-4F4B6FC8,RTE-D47D0A68,963.92,45.52,142.71
SHP-55B54A09CC7E,CTR-46C61BAFB8,2026-07-10 11:54:06,2026-07-10,11:54:06,Dairy Products,Curd,Reefer Trailer,Pune,Kanpur,Road,22.38153,77.601107,-1.87,69.05,71.23,33.85,2.138,0.9,Active,Clear,DRV-7D516D9C,RTE-82AD5BB6,796.14,29.38,161.75
SHP-7978D1A9E1C5,CTR-D8F889F677,2026-05-25 03:17:06,2026-05-25,03:17:06,Dairy Products,Butter,Mini Reefer Truck,Gurugram,Chandigarh,Road,28.911793,77.20067,4.01,40.11,79.75,106.23,5.995,1.19,Active,Cold Wave,DRV-EE3160C6,RTE-3394611C,764.62,53.24,104.81
SHP-8A601E144F3F,CTR-AED705F743,2026-06-30 19:44:06,2026-06-30,19:44:06,Dairy Products,Milk,Insulated Container,Chennai,Jaipur,Air,19.235555,78.375989,-2.04,52.36,85.84,257.47,4.84,3.62,Active,Fog,DRV-FB1AED8F,RTE-EEA3B846,1665.54,4.4,274.25
SHP-71DBFE66D5D3,CTR-81C5609564,2026-06-01 01:38:06,2026-06-01,01:38:06,Fresh Vegetables,Carrot,Insulated Container,Nagpur,Surat,Sea,20.418618,75.276847,1.6,57.86,69.97,17.22,10.453,4.02,Warning,Clear,DRV-E883B19B,RTE-23FD0CF4,2182.91,71.72,353.69
SHP-C1EB6B899521,CTR-2C152EC09F,2026-05-25 15:08:06,2026-05-25,15:08:06,Vaccines,BCG Vaccine,Refrigerated Van,Patna,Kanpur,Sea,25.506787,82.337803,2.6,45.56,79.38,54.6,7.675,1.02,Active,Cloudy,DRV-0D4A9E39,RTE-7367169B,2008.01,64.31,286.46
SHP-3D7C00CE841B,CTR-5A63512BCA,2026-06-20 13:39:06,2026-06-20,13:39:06,Vaccines,Polio Vaccine,Reefer Trailer,Ranchi,Coimbatore,Rail,16.493157,81.647291,0.88,54.64,61.93,48.3,12.068,3.67,Active,Clear,DRV-1BA106C3,RTE-F4DF1852,1352.63,43.8,270.55
SHP-2D4408673365,CTR-5562C7DB33,2026-07-17 12:25:06,2026-07-17,12:25:06,Dairy Products,Milk,Insulated Container,Indore,Mumbai,Rail,21.555379,74.219912,-0.69,45.52,78.81,147.46,1.661,1.75,Active,Storm,DRV-5DE54253,RTE-28767906,826.33,47.57,134.74
SHP-AEAD76348BBA,CTR-C23251D53E,2026-07-03 03:01:06,2026-07-03,03:01:06,Seafood,Fish,Refrigerated Truck,Visakhapatnam,Lucknow,Air,22.188551,81.929467,1.09,42.28,61.24,122.36,14.485,2.63,Active,Fog,DRV-29B5701D,RTE-06A7AC40,1529.5,1.0,298.26
SHP-361B26668AAA,CTR-B0B3E3EB3B,2026-07-04 15:34:06,2026-07-04,15:34:06,Seafood,Prawns,Reefer Trailer,Noida,Kolkata,Air,25.260297,82.700653,-0.74,47.45,82.54,46.08,6.942,32.17,Warning,Cold Wave,DRV-9D1495F6,RTE-DC37D857,1489.81,18.68,311.53
SHP-408E36FD7724,CTR-8D71865F02,2026-07-02 00:42:06,2026-07-02,00:42:06,Bakery Products,Cake,Mini Reefer Truck,Kanpur,Ranchi,Rail,24.286289,82.030188,2.25,37.34,58.79,1.63,1.964,3.89,Active,Heatwave,DRV-1CAD8EB1,RTE-FB180EE9,1212.81,70.3,134.38
SHP-1ED61A83F63D,CTR-EC1EE8489E,2026-07-06 03:27:06,2026-07-06,03:27:06,Vaccines,Polio Vaccine,Reefer Trailer,Visakhapatnam,Delhi,Rail,23.502807,79.51493,-4.4,52.32,68.6,306.94,1.311,3.87,Active,Storm,DRV-897F4CA2,RTE-9DB05DA7,1412.78,62.49,311.42
SHP-5D2D2CF24D84,CTR-CFB0152F46,2026-06-19 18:34:06,2026-06-19,18:34:06,Meat,Mutton,Cold Storage Container,Kochi,Hyderabad,Sea,14.051622,76.649827,-0.81,41.72,44.79,92.41,10.431,37.09,Warning,Cloudy,DRV-88B0D846,RTE-609F7553,2900.02,79.58,661.25
SHP-EC1879DA9036,CTR-5A5B42F0C5,2026-05-27 16:01:06,2026-05-27,16:01:06,Fresh Vegetables,Onion,Refrigerated Truck,Visakhapatnam,Varanasi,Sea,22.059402,82.86852,-4.78,55.13,63.7,112.63,4.519,10.96,Warning,Fog,DRV-7F847D12,RTE-0ADD5BA3,2240.77,81.74,414.34
SHP-8D8A0CC38C42,CTR-D0D0A85CCB,2026-07-09 08:46:06,2026-07-09,08:46:06,Seafood,Prawns,Insulated Container,Mumbai,Indore,Sea,20.902339,74.031439,-3.59,41.49,84.17,95.09,3.911,8.14,Warning,Fog,DRV-A61CCF9E,RTE-A34C9817,2060.19,73.08,352.09
SHP-2E11C0F65510,CTR-A581DD060E,2026-06-16 00:05:06,2026-06-16,00:05:06,Fresh Vegetables,Broccoli,Cold Storage Container,Lucknow,Noida,Air,27.988506,79.339105,3.27,45.92,76.36,95.0,4.771,1.44,Active,Clear,DRV-565D63F8,RTE-F822EF16,1338.07,13.98,299.42
SHP-B61679D50996,CTR-9A960F9FE5,2026-06-19 00:02:06,2026-06-19,00:02:06,Frozen Foods,Frozen Pizza,Refrigerated Van,Coimbatore,Pune,Sea,14.419028,76.088955,2.15,45.5,72.86,98.19,8.0,2.19,Active,Heatwave,DRV-2C26A6C8,RTE-3C7E7F1C,2037.02,65.13,322.92
SHP-F0CF11B29A6C,CTR-D29912761E,2026-06-11 05:28:06,2026-06-11,05:28:06,Vaccines,COVID-19 Vaccine,Reefer Trailer,Guwahati,Varanasi,Road,25.541312,87.870446,-1.73,76.2,81.6,136.99,5.158,0.0,Warning,Fog,DRV-A2EBF2C3,RTE-F7CECC5C,953.37,34.62,185.62
SHP-AF008D8A86CE,CTR-768069879B,2026-05-30 22:24:06,2026-05-30,22:24:06,Ice Cream,Ice Cream,Reefer Trailer,Surat,Ahmedabad,Road,21.345661,72.151368,-3.61,60.28,27.72,91.16,1.03,15.93,Warning,Cloudy,DRV-2852625B,RTE-E9DEA60B,368.12,21.44,74.92
SHP-F276B2ED16FF,CTR-028568ECC1,2026-07-14 14:04:06,2026-07-14,14:04:06,Fresh Vegetables,Carrot,Refrigerated Van,Varanasi,Visakhapatnam,Sea,21.053985,83.491006,-19.75,48.48,84.0,283.09,13.865,12.55,Critical,Cold Wave,DRV-6F9CAEE6,RTE-F31D113E,1913.18,63.17,324.77
SHP-D8C99C996C37,CTR-842E2C96FF,2026-07-05 20:59:06,2026-07-05,20:59:06,Fresh Fruits,Banana,Cold Storage Container,Ahmedabad,Srinagar,Sea,29.027933,74.243498,-1.3,53.59,80.57,57.47,1.426,3.85,Active,Cloudy,DRV-6ADFA0E5,RTE-9C7D6FD2,2303.61,74.19,512.07
SHP-BF0541BA862B,CTR-7085A91D69,2026-06-27 14:41:06,2026-06-27,14:41:06,Frozen Foods,Frozen Pizza,Refrigerated Truck,Delhi,Kochi,Rail,18.944516,76.952623,15.0,34.83,87.5,65.22,4.578,3.16,Warning,Heatwave,DRV-94976187,RTE-EB7E23E3,1366.32,55.53,237.93
SHP-1F05078C6858,CTR-47D932DB9F,2026-06-13 03:00:06,2026-06-13,03:00:06,Dairy Products,Paneer,Insulated Container,Ahmedabad,Pune,Rail,20.44834,73.833215,1.04,60.84,74.13,65.23,4.311,11.99,Warning,Storm,DRV-FF91B527,RTE-C45A8D58,1367.98,54.08,218.69
SHP-B638914F7563,CTR-662D70B228,2026-07-08 08:18:06,2026-07-08,08:18:06,Seafood,Fish,Cold Storage Container,Mumbai,Jaipur,Air,23.738785,74.919922,-1.34,75.98,80.41,5.34,6.491,23.9,Warning,Rain,DRV-D305291B,RTE-27531D37,1552.42,20.99,339.64
SHP-0D8194EC00BB,CTR-942F354D2D,2026-06-21 16:57:06,2026-06-21,16:57:06,Fresh Fruits,Banana,Mini Reefer Truck,Srinagar,Visakhapatnam,Road,26.121955,79.739727,1.12,50.95,66.47,12.31,1.406,3.76,Active,Storm,DRV-BC61C71E,RTE-7E20086A,1079.85,39.76,138.08
SHP-334D4743D090,CTR-AAC3ABA052,2026-06-15 14:02:06,2026-06-15,14:02:06,Dairy Products,Butter,Insulated Container,Guwahati,Patna,Road,25.08714,89.036527,-3.75,56.09,63.08,203.06,3.812,1.37,Active,Fog,DRV-A7440233,RTE-A1F2854B,1167.77,12.54,218.44
SHP-A528999CCAB5,CTR-71D7EAEE44,2026-06-16 00:11:06,2026-06-16,00:11:06,Dairy Products,Milk,Cold Storage Container,Bengaluru,Asansol,Air,17.754498,81.556637,-0.71,53.95,89.63,26.92,2.463,1.81,Active,Rain,DRV-B36D9FE8,RTE-FA153A62,1427.38,6.94,298.71
SHP-BB0A9D9F806C,CTR-26706166B6,2026-06-02 14:45:06,2026-06-02,14:45:06,Fresh Vegetables,Tomato,Refrigerated Truck,Siliguri,Kolkata,Sea,24.7662,88.219081,0.24,62.9,72.49,46.25,6.491,0.0,Active,Storm,DRV-59E197CC,RTE-EA1B7A4E,2488.17,87.71,475.18
SHP-0541BD6BA561,CTR-C34EC23684,2026-05-25 12:12:06,2026-05-25,12:12:06,Dairy Products,Butter,Reefer Trailer,Bhopal,Varanasi,Sea,24.364791,79.529453,-0.21,35.62,79.26,34.42,6.736,0.85,Active,Cold Wave,DRV-C04F5CB8,RTE-C9E734CB,1837.46,86.11,359.44
SHP-F408B5DE9698,CTR-513BD659EF,2026-06-22 06:08:06,2026-06-22,06:08:06,Fresh Fruits,Orange,Cold Storage Container,Bhopal,Noida,Air,25.433785,77.788089,1.9,37.89,21.23,256.88,2.884,10.58,Warning,Cold Wave,DRV-C9A912BE,RTE-3172EE03,1207.14,1.0,270.62
SHP-153A2A7C4BAA,CTR-4F441D4BC5,2026-07-12 06:05:06,2026-07-12,06:05:06,Fresh Fruits,Orange,Refrigerated Van,Delhi,Noida,Road,28.9362,76.838779,0.83,51.51,63.26,85.78,10.262,18.74,Warning,Clear,DRV-AB8163F2,RTE-DF52FE12,791.43,32.82,133.15
SHP-FD125EC5ED67,CTR-6D6396C72A,2026-05-23 19:25:06,2026-05-23,19:25:06,Frozen Foods,Frozen Meat,Refrigerated Truck,Lucknow,Kochi,Road,19.037955,79.169084,1.6,44.85,70.13,218.36,7.541,1.09,Active,Cloudy,DRV-0C4B0FCC,RTE-D60862BD,460.4,42.5,69.46
SHP-84D2773397BF,CTR-8964782DA0,2026-07-10 11:28:06,2026-07-10,11:28:06,Vaccines,BCG Vaccine,Reefer Trailer,Kochi,Kolkata,Sea,15.679828,81.809988,-1.65,59.45,86.51,164.9,1.672,1.78,Active,Heatwave,DRV-C8321E4F,RTE-47A0230A,2369.85,82.54,466.9
SHP-A1DD8AFA262D,CTR-CAFFE4E307,2026-07-08 15:19:06,2026-07-08,15:19:06,Fresh Vegetables,Lettuce,Refrigerated Truck,Surat,Durgapur,Rail,22.528616,79.674337,2.15,49.96,76.39,176.36,0.878,0.64,Active,Cold Wave,DRV-C92A6210,RTE-B086C0EC,991.64,47.6,173.83
SHP-055A28B91468,CTR-B2B4A112B1,2026-06-05 14:04:06,2026-06-05,14:04:06,Dairy Products,Cheese,Insulated Container,Kochi,Srinagar,Air,21.390846,75.805865,3.91,46.79,50.32,40.05,4.084,2.87,Active,Storm,DRV-04F3CE74,RTE-381A6FAC,1492.39,26.88,247.61
SHP-1C47445C72CA,CTR-63D0F709A0,2026-06-26 21:07:06,2026-06-26,21:07:06,Fresh Vegetables,Tomato,Refrigerated Van,Surat,Chennai,Air,17.234118,75.837921,-2.33,54.57,67.52,110.96,6.761,3.28,Active,Rain,DRV-53A5FE7D,RTE-8DFE0920,791.44,1.0,138.67
SHP-B757DC856D18,CTR-A0DE04107F,2026-05-29 21:27:06,2026-05-29,21:27:06,Dairy Products,Milk,Insulated Container,Hyderabad,Visakhapatnam,Sea,17.937567,81.636722,-2.13,30.2,90.5,5.2,2.434,3.24,Active,Storm,DRV-2F4FE9F4,RTE-B89537FA,2201.39,61.14,349.85
SHP-5CBB7586DA7F,CTR-92DB05FD60,2026-07-04 11:10:06,2026-07-04,11:10:06,Frozen Foods,Frozen Peas,Insulated Container,Bengaluru,Hyderabad,Air,15.256462,78.272129,3.21,51.25,67.54,51.44,5.452,18.12,Warning,Fog,DRV-55E9BD72,RTE-65D19650,1435.42,8.74,231.3
SHP-B15E3E6104BC,CTR-82538B2924,2026-07-01 00:17:06,2026-07-01,00:17:06,Fresh Fruits,Grapes,Mini Reefer Truck,Kolkata,Bhopal,Road,22.233281,83.162946,-0.34,56.44,49.29,21.76,4.371,2.59,Active,Storm,DRV-9D5EF16D,RTE-BF4C93B7,685.58,36.64,99.31
SHP-623BF2077321,CTR-BBE2B1D37A,2026-06-10 06:03:06,2026-06-10,06:03:06,Meat,Mutton,Refrigerated Truck,Coimbatore,Gurugram,Sea,19.33925,76.507068,3.37,60.87,91.77,107.17,14.71,1.61,Active,Rain,DRV-11EF3911,RTE-8512D55B,2357.04,69.64,452.96
